Days,Treatment ,Morality,Mycosis,Replicate
0,Control,0,0,Replicate1
1,Control,1,0,Replicate1
2,Control,0,0,Replicate1
3,Control,0,0,Replicate1
4,Control,0,0,Replicate1
5,Control,0,0,Replicate1
6,Control,0,0,Replicate1
7,Control,0,0,Replicate1
8,Control,0,0,Replicate1
9,Control,0,0,Replicate1
10,Control,0,0,Replicate1
11,Control,0,0,Replicate1
12,Control,0,0,Replicate1
13,Control,1,0,Replicate1
14,Control,1,0,Replicate1
Alives,Control,22,0,Replicate1
0,RFP,0,0,Replicate1
1,RFP,1,0,Replicate1
2,RFP,0,0,Replicate1
3,RFP,0,0,Replicate1
4,RFP,2,1,Replicate1
5,RFP,1,1,Replicate1
6,RFP,0,0,Replicate1
7,RFP,3,2,Replicate1
8,RFP,1,1,Replicate1
9,RFP,4,4,Replicate1
10,RFP,2,2,Replicate1
11,RFP,1,0,Replicate1
12,RFP,1,1,Replicate1
13,RFP,0,0,Replicate1
14,RFP,0,0,Replicate1
Alives,RFP,9,0,Replicate1
0,Hybrid,1,0,Replicate1
1,Hybrid,0,0,Replicate1
2,Hybrid,2,1,Replicate1
3,Hybrid,3,0,Replicate1
4,Hybrid,4,4,Replicate1
5,Hybrid,2,1,Replicate1
6,Hybrid,0,0,Replicate1
7,Hybrid,1,1,Replicate1
8,Hybrid,4,4,Replicate1
9,Hybrid,1,0,Replicate1
10,Hybrid,2,2,Replicate1
11,Hybrid,2,2,Replicate1
12,Hybrid,0,0,Replicate1
13,Hybrid,0,0,Replicate1
14,Hybrid,0,0,Replicate1
Alives,Hybrid,3,0,Replicate1
0,Control,1,0,Replicate2
1,Control,0,0,Replicate2
2,Control,0,0,Replicate2
3,Control,0,0,Replicate2
4,Control,0,0,Replicate2
5,Control,0,0,Replicate2
6,Control,0,0,Replicate2
7,Control,0,0,Replicate2
8,Control,0,0,Replicate2
9,Control,0,0,Replicate2
10,Control,0,0,Replicate2
11,Control,0,0,Replicate2
12,Control,0,0,Replicate2
13,Control,0,0,Replicate2
14,Control,0,0,Replicate2
Alives,Control,24,0,Replicate2
0,RFP,1,0,Replicate2
1,RFP,0,0,Replicate2
2,RFP,2,0,Replicate2
3,RFP,1,0,Replicate2
4,RFP,1,1,Replicate2
5,RFP,2,2,Replicate2
6,RFP,3,3,Replicate2
7,RFP,2,2,Replicate2
8,RFP,3,2,Replicate2
9,RFP,0,0,Replicate2
10,RFP,2,2,Replicate2
11,RFP,0,0,Replicate2
12,RFP,1,1,Replicate2
13,RFP,0,0,Replicate2
14,RFP,1,0,Replicate2
Alives,RFP,6,,Replicate2
0,Hybrid,2,0,Replicate2
1,Hybrid,0,0,Replicate2
2,Hybrid,1,1,Replicate2
3,Hybrid,1,1,Replicate2
4,Hybrid,0,0,Replicate2
5,Hybrid,2,2,Replicate2
6,Hybrid,3,3,Replicate2
7,Hybrid,4,4,Replicate2
8,Hybrid,3,2,Replicate2
9,Hybrid,2,2,Replicate2
10,Hybrid,3,3,Replicate2
11,Hybrid,0,0,Replicate2
12,Hybrid,0,0,Replicate2
13,Hybrid,1,1,Replicate2
14,Hybrid,1,0,Replicate2
Alives,Hybrid,2,0,Replicate2
0,Control,1,0,Replicate3
1,Control,0,0,Replicate3
2,Control,0,0,Replicate3
3,Control,0,0,Replicate3
4,Control,0,0,Replicate3
5,Control,0,0,Replicate3
6,Control,1,0,Replicate3
7,Control,0,0,Replicate3
8,Control,2,0,Replicate3
9,Control,0,0,Replicate3
10,Control,0,0,Replicate3
11,Control,0,0,Replicate3
12,Control,0,0,Replicate3
13,Control,1,0,Replicate3
14,Control,0,0,Replicate3
Alives,Control,20,0,Replicate3
0,RFP,0,0,Replicate3
1,RFP,0,0,Replicate3
2,RFP,1,0,Replicate3
3,RFP,0,0,Replicate3
4,RFP,0,0,Replicate3
5,RFP,1,1,Replicate3
6,RFP,2,2,Replicate3
7,RFP,2,0,Replicate3
8,RFP,5,4,Replicate3
9,RFP,2,1,Replicate3
10,RFP,1,1,Replicate3
11,RFP,0,0,Replicate3
12,RFP,0,0,Replicate3
13,RFP,0,0,Replicate3
14,RFP,2,2,Replicate3
Alives,RFP,9,0,Replicate3
0,Hybrid,1,0,Replicate3
1,Hybrid,1,0,Replicate3
2,Hybrid,0,0,Replicate3
3,Hybrid,2,1,Replicate3
4,Hybrid,2,2,Replicate3
5,Hybrid,0,0,Replicate3
6,Hybrid,0,0,Replicate3
7,Hybrid,6,6,Replicate3
8,Hybrid,5,5,Replicate3
9,Hybrid,3,0,Replicate3
10,Hybrid,1,1,Replicate3
11,Hybrid,0,0,Replicate3
12,Hybrid,1,1,Replicate3
13,Hybrid,0,0,Replicate3
14,Hybrid,0,0,Replicate3
Alives,Hybrid,3,0,Replicate3